OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
2749,768,Fashing,,4825560,N,N,,,,,7,15
2750,769,Espey,,0,N,N,,,,,7,15
2751,770,Leming,,4842256,N,N,,,946,,7,15
2752,78,Hockley,,4834328,N,N,,,,,102,12
2753,771,Kyote,,4839964,N,N,,,,,7,15
2754,772,Coughran,,4817228,N,N,,,,,7,15
2755,773,Hindes,,4834172,N,N,,,,,7,15
2756,774,Gillett,,4829516,N,N,,,,,129,16
2757,775,Coy City,,4817420,N,N,,,,,129,16
2758,776,Choate,,4814812,N,N,,,,,129,16
2759,777,El Oso,,4823404,N,N,,,,,129,16
2760,778,Zunkerville,,4880860,N,N,,,,,129,16
2761,779,Pike,,4857416,N,N,,,,,43,18
2762,780,Frognot,,4827708,N,N,,,,,43,18
2763,79,Bammel,,4805492,N,N,,,,,102,12
2764,781,Rhea Mills,,4861676,N,N,,,,,43,18
2765,782,Altoga,,4802200,N,N,,,,,43,18
2766,783,Copeville,,4816600,N,N,,,,,43,18
2767,784,Westminster,,4877680,N,N,388,390,861,,43,18
2768,785,Bryans Mill,,4810924,N,N,,,,,34,19
2769,786,Cass,,4813216,N,N,,,,,34,19
2770,787,Dalton,,4819048,N,N,,,,,34,19
2771,788,Antioch,,4803444,N,N,,,,,34,19
2772,789,Cusseta,,4818236,N,N,,,,,34,19
2773,790,Nickleberry,,4851480,N,N,,,,,34,19
2774,80,Kohrville,,4839748,N,N,,,,,102,12
2775,791,Red Hill,,4861100,N,N,,,,,34,19
2776,792,Almira,,0,N,N,,,,,34,19
2777,793,Smyrna,,4868516,N,N,,,,,34,19
2778,794,Crossroads,,4817840,N,N,,,,,34,19
2779,795,Carterville,,4813096,N,N,,,,,34,19
2780,796,New Colony,,4850892,N,N,,,,,34,19
2781,797,Three States,,0,N,N,,,,,34,19
2782,798,Bivins,,4808404,N,N,,,,,34,19
2783,799,Huffines,,4835264,N,N,,,,,34,19
2784,800,Sardis,,4865840,N,N,,,,,34,19
2785,9,Cyril,,0,N,N,,,,,201,10
2786,81,Cypress,,4818356,N,N,,,,,102,12
2787,801,McLeod,,4845816,N,N,,,,,34,19
2788,802,Kildare,,4839100,N,N,,,,,34,19
2789,494,Woodbine,,4880032,N,N,,,,,49,3
2790,495,Hood,,4834724,N,N,,,,,49,3
2791,496,Burns,,4811476,N,N,,,,,19,19
2792,497,Era,,4824492,N,N,,,,,49,3
2793,498,Rosston,,4863428,N,N,,,,,49,3
2794,499,Lois,,4843396,N,N,,,,,49,3
2795,500,Riverby,,4862312,N,N,,,,,75,1
2796,6,Trukton,,0,N,N,,,,,201,10
2797,51,Weeping Mary,,4876996,N,N,,,,,37,10
2798,501,Elwood,,4824096,N,N,,,,,75,1
2799,502,Telephone,,4872104,N,N,,,,,75,1
2800,503,Duplex,,4821724,N,N,,,,,75,1
2801,504,Sowells Bluff,,4869356,N,N,,,,,75,1
2802,505,Carson,,4813036,N,N,,,,,75,1
2803,3053,Sansom Park,,,,,,,,5704,,
2804,3090,Sandy Oaks,,,,,,,,4787,,
2805,3109,Villiage of Volente,,,,,,,,,,
2806,3311,Coyote Flats,,,,,,,,368,,
2807,471,Magnolia (San Jacinto),,,,,,,,,,
2808,506,Ridings,,4862096,N,N,,,,,75,1
2809,507,Lamasco,,4841152,N,N,,,,,75,1
2810,508,Allens Chapel,,4801984,N,N,,,,,75,1
2811,509,Boyd,5250,4809748,Y,N,1041,1099,1207,1555,249,2
2812,510,Lannius,,4841392,N,N,,,,,75,1
2813,52,Geneva,,4829276,N,N,,,,,202,11
2814,511,Midway,,4848252,N,N,,,228,238,225,19
2815,512,Ely,,4824120,N,N,,,,,75,1
2816,513,Cotton Center,,4817120,N,N,,,,,75,1
2817,514,Dial,,4820260,N,N,,,,,75,1
2818,515,Bug Tussle,,4811176,N,N,,,,,75,1
2819,516,Randolph,,4860596,N,N,,,,,75,1
2820,517,Gober,,4829960,N,N,,,,,75,1
2821,518,Nobility,,4851612,N,N,,,,,75,1
2822,519,Monkstown,,4848960,N,N,,,,,75,1
2823,520,Griffith,,4831172,N,N,,,,,40,5
