,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
207,Metro Central,MC-22-1003,NOROVIRUS,Undetermined,13098860.9826367,MC-22-1003,2022-10-03
208,Park Ten,PT-22-1003,NOROVIRUS,Undetermined,15375380.6181378,PT-22-1003,2022-10-03
209,Roberto Bustamante,22-30172,NOROVIRUS,Undetermined,2546324.72462316,22-30172,2022-10-03
210,Turkey Creek,TC-22-1003,NOROVIRUS,Undetermined,29985624.7292544,TC-22-1003,2022-10-03
211,Almeda Sims,AS-22-1010,NOROVIRUS,Undetermined,32063269.3805801,AS-22-1010,2022-10-10
212,Fred Hurvey,22-30708,NOROVIRUS,Undetermined,3393586.66594898,22-30708,2022-10-10
213,Haskell,22-30709,NOROVIRUS,Undetermined,737103.499684341,22-30709,2022-10-10
214,Homestead,HO-22-1010,NOROVIRUS,Undetermined,16150087.5874445,HO-22-1010,2022-10-10
215,Intercontinental Airport,IA-22-1010,NOROVIRUS,Undetermined,42230835.6325447,IA-22-1010,2022-10-10
216,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-10-10
217,Metro Central,MC-22-1010,NOROVIRUS,Undetermined,41892972.1432944,MC-22-1010,2022-10-10
218,Park Ten,PT-22-1010,NOROVIRUS,Undetermined,6613462.27908096,PT-22-1010,2022-10-10
219,Roberto Bustamante,22-30710,NOROVIRUS,Undetermined,2799809.87692772,22-30710,2022-10-10
220,Turkey Creek,TC-22-1010,NOROVIRUS,Undetermined,26098300.6558666,TC-22-1010,2022-10-10
221,Almeda Sims,AS-22-1017,NOROVIRUS,Undetermined,9361411.53863731,AS-22-1017,2022-10-17
222,Fred Hurvey,NA,NOROVIRUS,NA,0,NA,2022-10-17
223,Haskell,22-31392,NOROVIRUS,Undetermined,8870309.51637175,22-31392,2022-10-17
224,Homestead,HO-22-1017,NOROVIRUS,Undetermined,6658869.9664972,HO-22-1017,2022-10-17
225,Intercontinental Airport,IA-22-1017,NOROVIRUS,Undetermined,15561039.2603097,IA-22-1017,2022-10-17
226,John T. Hickerson,22-31390,NOROVIRUS,Undetermined,1434829.40447628,22-31390,2022-10-17
227,Metro Central,MC-22-1017,NOROVIRUS,Undetermined,5077522.9779321,MC-22-1017,2022-10-17
228,Park Ten,PT-22-1017,NOROVIRUS,Undetermined,5900651.89558738,PT-22-1017,2022-10-17
229,Roberto Bustamante,22-31393,NOROVIRUS,Undetermined,769031.248027837,22-31393,2022-10-17
230,Turkey Creek,TC-22-1017,NOROVIRUS,Undetermined,13642540.4571121,TC-22-1017,2022-10-17
231,Almeda Sims,AS-22-1024,NOROVIRUS,Undetermined,21927070.2752867,AS-22-1024,2022-10-24
232,Fred Hurvey,NA,NOROVIRUS,NA,0,NA,2022-10-24
233,Haskell,22-31959,NOROVIRUS,Undetermined,5898426.15653785,22-31959,2022-10-24
234,Homestead,HO-22-1024,NOROVIRUS,Undetermined,32353016.0059175,HO-22-1024,2022-10-24
235,Intercontinental Airport,IA-22-1024,NOROVIRUS,Undetermined,64759162.1722189,IA-22-1024,2022-10-24
236,John T. Hickerson,22-31957,NOROVIRUS,Undetermined,750580.363214883,22-31957,2022-10-24
237,Metro Central,MC-22-1024,NOROVIRUS,Undetermined,15313243.1107306,MC-22-1024,2022-10-24
238,Park Ten,PT-22-1024,NOROVIRUS,Undetermined,22058180.3014586,PT-22-1024,2022-10-24
239,Roberto Bustamante,22-31960,NOROVIRUS,Undetermined,2506736.23378963,22-31960,2022-10-24
240,Turkey Creek,NA,NOROVIRUS,NA,0,NA,2022-10-24
241,Almeda Sims,AS-22-1024,NOROVIRUS,Undetermined,24623333.7846344,AS-22-1024,2022-10-31
242,Fred Hurvey,22-32663,NOROVIRUS,Undetermined,2856448.66358301,22-32663,2022-10-31
243,Haskell,22-32664,NOROVIRUS,Undetermined,2180030.55890809,22-32664,2022-10-31
244,Homestead,HO-22-1024,NOROVIRUS,Undetermined,13077144.9319423,HO-22-1024,2022-10-31
245,Intercontinental Airport,IA-22-1024,NOROVIRUS,Undetermined,30387126.8653913,IA-22-1024,2022-10-31
246,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-10-31
247,Metro Central,MC-22-1024,NOROVIRUS,Undetermined,16470064.5374559,MC-22-1024,2022-10-31
248,Park Ten,PT-22-1024,NOROVIRUS,Undetermined,17757701.9415653,PT-22-1024,2022-10-31
249,Roberto Bustamante,22-32665,NOROVIRUS,Undetermined,2477913.80714598,22-32665,2022-10-31
250,Turkey Creek,TC-22-1017,NOROVIRUS,Undetermined,10320158.6433801,TC-22-1017,2022-10-31
251,Almeda Sims,AS-22-1114,NOROVIRUS,Undetermined,25680616.4509331,AS-22-1114,2022-11-07
252,Fred Hurvey,22-34137,NOROVIRUS,Undetermined,5223400.56430564,22-34137,2022-11-07
253,Haskell,22-34138,NOROVIRUS,Undetermined,4443034.7547016,22-34138,2022-11-07
254,Homestead,HO-22-1114,NOROVIRUS,Undetermined,27195757.6370597,HO-22-1114,2022-11-07
255,Intercontinental Airport,IA-22-1114,NOROVIRUS,Undetermined,42877986.741148,IA-22-1114,2022-11-07
256,John T. Hickerson,22-34136,NOROVIRUS,Undetermined,5485366.84903031,22-34136,2022-11-07
257,LB_TX1,FXE5M5,NOROVIRUS,Undetermined,9260826.93384353,FXE5M5,2022-11-07
258,Metro Central,MC-22-1114,NOROVIRUS,Undetermined,16226779.7860024,MC-22-1114,2022-11-07
259,Park Ten,PT-22-1114,NOROVIRUS,Undetermined,30884736.3042348,PT-22-1114,2022-11-07
260,Roberto Bustamante,22-34139,NOROVIRUS,Undetermined,17565878.0377642,22-34139,2022-11-07
261,Turkey Creek,TC-22-1114,NOROVIRUS,Undetermined,8473891.24069589,TC-22-1114,2022-11-07
262,Almeda Sims,AS-22-1114,NOROVIRUS,Undetermined,25680616.4509331,AS-22-1114,2022-11-14
263,Fred Hurvey,22-34137,NOROVIRUS,Undetermined,1455096.70583925,22-34137,2022-11-14
264,Haskell,22-34138,NOROVIRUS,Undetermined,7515448.80227103,22-34138,2022-11-14
265,Homestead,HO-22-1114,NOROVIRUS,Undetermined,7650197.34357562,HO-22-1114,2022-11-14
266,Intercontinental Airport,IA-22-1114,NOROVIRUS,Undetermined,54776914.2187393,IA-22-1114,2022-11-14
267,John T. Hickerson,22-34136,NOROVIRUS,Undetermined,3062704.31734308,22-34136,2022-11-14
268,LB_TX1,FXE5M5,NOROVIRUS,Undetermined,7016735.41791475,FXE5M5,2022-11-14
269,Metro Central,MC-22-1114,NOROVIRUS,Undetermined,26080462.0330696,MC-22-1114,2022-11-14
