,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
257,Metro Central,MC-22-1024,SARSCOV2N1,Undetermined,70253.3686720586,MC-22-1024,2022-10-31
258,Park Ten,PT-22-1024,SARSCOV2N1,Undetermined,102129.880515515,PT-22-1024,2022-10-31
259,Roberto Bustamante,22-32665,SARSCOV2N1,Undetermined,613981.410603711,22-32665,2022-10-31
260,Turkey Creek,TC-22-1017,SARSCOV2N1,Undetermined,181329.20040457,TC-22-1017,2022-10-31
261,Almeda Sims,AS-22-1114,SARSCOV2N1,Undetermined,32683.6225364985,AS-22-1114,2022-11-07
262,Fred Hurvey,22-34137,SARSCOV2N1,Undetermined,472095.646636116,22-34137,2022-11-07
263,Haskell,22-34138,SARSCOV2N1,Undetermined,413499.28427333,22-34138,2022-11-07
264,Homestead,HO-22-1114,SARSCOV2N1,Undetermined,22608.0166491662,HO-22-1114,2022-11-07
265,Intercontinental Airport,IA-22-1114,SARSCOV2N1,Undetermined,64412.2827224912,IA-22-1114,2022-11-07
266,John T. Hickerson,22-34136,SARSCOV2N1,Undetermined,473952.052686732,22-34136,2022-11-07
267,LB_TX1,FXE5M5,SARSCOV2N1,Undetermined,88109.2396066419,FXE5M5,2022-11-07
268,Metro Central,MC-22-1114,SARSCOV2N1,Undetermined,54035.9314253898,MC-22-1114,2022-11-07
